init_state,Value
  o x  xo,1
  o xx xo,1
   ox oxx,-1
   oxooxx,1
 x   xo o,-1
 xx  xo o,-1
 xo x  ox,0
x  oo x  ,0
xx oo x  ,-1
oxoxox  x,-1
oo xx x  ,-1
oooxx x  ,-1
x x   o o,1
x  xoo x ,0
x oxoo x ,1
xoxo  xo ,1
  xo o xx,-1
  xo ooxx,-1
oxxoo  x ,-1
oxxoo xx ,-1
xx   o  o,1
xx  xo  o,-1
x x o   o,1
x x ox  o,0
oox   oxx,1
ooxx  oxx,0
xx oox xo,0
xx ooxoxo,1
  xo ox  ,1
 xxo ox  ,-1
     o x ,1
   x o x ,0
  oxox   ,-1
  oxox x ,-1
oxo xxo x,-1
oxooxxo x,-1
 xoo  oxx,1
 xoo xoxx,-1
  o oxx  ,0
x o oxx  ,0
x   o o x,1
x   oxo x,-1
o xo   x ,1
   xo  ox,0
 x xo  ox,0
x    xoox,1
x   oxoox,1
    x oox,1
    xxoox,1
 xxo o   ,1
 xxoxo   ,1
 x  o  ox,1
xx  o  ox,0
  ox xoxo,1
x ox xoxo,-1
o o  xx  ,0
o o  xx x,-1
oxxox x o,1
ox    x  ,0
oxo   x  ,1
x  o x  o,0
x xo x  o,0
ox x o   ,0
ox x ox  ,-1
xo  o x  ,1
xo  o xx ,1
  o  xx o,1
  o xxx o,0
 xo o  x ,-1
 xo ox x ,-1
x  x xoo ,-1
xo x xoo ,1
 ox    x ,0
 ox    xo,0
x x oox  ,-1
x xooox  ,-1
  oo xx  ,0
  oo xx x,0
 o oxx ox,1
 oxoxx ox,1
 ox x o  ,1
 oxxx o  ,0
   oxo  x,1
 x oxo  x,1
oox  ox x,1
ooxx ox x,1
oo x   x ,1
oxoxx  ox,0
oxoxxo ox,0
 x  o  xo,-1
 x  o xxo,-1
x o   x  ,1
x o   xo ,1
 oo xo xx,1
 ooxxo xx,-1
xoo  x xo,1
xoo xx xo,0
o x x  xo,1
x xo xo o,1
o  x  xxo,-1
oo x  xxo,-1
xxoo  oxx,-1
xxooo oxx,-1
xx  xoo  ,1
xx  xoo o,1
